City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
262,Severo-Kurilsk,RU,2020-02-23 08:31:24,50.68,156.12,20.19,95,100,26.08
263,Los Llanos De Aridane,ES,2020-02-23 08:31:24,28.66,-17.92,69.8,60,20,12.75
264,Gamba,GA,2020-02-23 08:31:25,-2.65,10.0,84.38,76,80,4.74
265,Berlevag,NO,2020-02-23 08:31:25,70.86,29.09,32.45,76,11,9.53
266,Abadiania,BR,2020-02-23 08:26:50,-16.2,-48.71,66.2,93,40,1.95
267,Staryy Nadym,RU,2020-02-23 08:31:25,65.61,72.68,28.31,88,68,21.7
268,Pierre,US,2020-02-23 08:28:54,44.37,-100.35,33.01,68,1,8.05
269,Zyryanka,RU,2020-02-23 08:31:26,65.75,150.85,-14.4,97,90,3.13
270,Alice Springs,AU,2020-02-23 08:27:21,-23.7,133.88,93.2,12,0,18.34
271,Champerico,GT,2020-02-23 08:31:26,14.3,-91.92,74.12,82,0,2.86
272,Petropavlovsk-Kamchatskiy,RU,2020-02-23 08:31:26,53.05,158.65,14.0,61,75,2.24
273,Severobaykalsk,RU,2020-02-23 08:31:27,55.65,109.32,16.5,83,71,6.02
274,Lovozero,RU,2020-02-23 08:31:27,68.0,35.01,29.34,92,100,2.33
275,Luanda,AO,2020-02-23 08:31:27,-8.84,13.23,80.6,88,75,2.24
276,El Alto,PE,2020-02-23 08:31:27,-4.27,-81.21,75.33,74,100,1.61
277,Tilichiki,RU,2020-02-23 08:31:27,60.47,166.1,-9.31,94,96,5.06
278,Bureya,RU,2020-02-23 08:31:28,49.81,129.81,10.26,93,100,1.99
279,Ondjiva,AO,2020-02-23 08:31:28,-17.07,15.73,75.2,83,40,4.7
280,Padang,ID,2020-02-23 08:31:28,-0.95,100.35,83.64,56,45,2.24
281,Solnechnyy,RU,2020-02-23 08:30:49,50.72,136.63,6.66,98,95,1.99
282,Beloha,MG,2020-02-23 08:31:29,-25.17,45.05,89.6,52,100,10.38
283,Sorong,ID,2020-02-23 08:31:29,-0.88,131.25,79.63,82,100,6.89
284,Liancheng,CN,2020-02-23 08:31:29,24.05,105.08,62.55,59,90,10.54
285,Lagoa,PT,2020-02-23 08:31:29,39.05,-27.98,58.42,74,1,6.53
286,Riacho De Santana,BR,2020-02-23 08:31:30,-13.61,-42.94,77.0,94,80,2.24
287,Leningradskiy,RU,2020-02-23 08:31:30,69.38,178.42,-13.36,91,100,8.9
288,Ugoofaaru,MV,2020-02-23 08:31:30,5.67,73.0,83.25,79,100,21.41
289,Camacha,PT,2020-02-23 08:31:30,33.08,-16.33,62.6,82,40,18.34
290,Bilma,NE,2020-02-23 08:31:30,18.69,12.92,72.07,19,29,19.39
291,Namibe,AO,2020-02-23 08:31:31,-15.2,12.15,68.0,82,75,5.55
292,Gao,ML,2020-02-23 08:31:31,16.64,1.64,84.0,8,33,18.43
293,Chapais,CA,2020-02-23 08:31:31,49.78,-74.85,26.6,79,75,10.29
294,Paamiut,GL,2020-02-23 08:31:31,61.99,-49.67,21.36,94,100,12.41
295,Nabire,ID,2020-02-23 08:30:49,-3.37,135.48,76.55,97,100,1.14
296,Dingle,PH,2020-02-23 08:31:32,11.0,122.67,78.76,78,33,14.85
297,Ulaangom,MN,2020-02-23 08:31:32,49.98,92.07,9.19,89,100,3.29
298,Mackenzie,CA,2020-02-23 08:31:32,55.3,-123.17,14.0,92,1,2.24
299,Vila Do Maio,CV,2020-02-23 08:31:32,15.13,-23.22,69.8,73,20,10.29
300,Te Anau,NZ,2020-02-23 08:31:33,-45.42,167.72,53.74,82,27,7.81
301,Touros,BR,2020-02-23 08:31:33,-5.2,-35.46,77.0,94,40,3.36
302,Huntsville,US,2020-02-23 08:31:29,34.73,-86.59,37.99,77,20,2.17
