City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description,Rain inches last 3 hours,Snow inches last 3 hours
42,Felipe Carrillo Puerto,19.58,-88.05,73.85,72,40,3.74,MX,2020-02-24 00:58:39,scattered clouds,0,0
43,Tuktoyaktuk,69.45,-133.04,-5.8,76,75,12.75,CA,2020-02-24 00:58:39,light snow,0,0
44,Denholm,52.65,-108.02,23.0,62,1,2.24,CA,2020-02-24 00:58:39,clear sky,0,0
45,Lebu,-37.62,-73.65,56.97,80,6,6.58,CL,2020-02-24 00:55:17,clear sky,0,0
46,Shitanjing,39.23,106.34,36.9,34,100,2.62,CN,2020-02-24 00:58:40,overcast clouds,0,0
47,Ponta Do Sol,32.67,-17.1,66.99,48,20,18.34,PT,2020-02-24 00:54:45,few clouds,0,0
48,Lavrentiya,65.58,-171.0,-4.92,77,0,5.3,RU,2020-02-24 00:55:59,clear sky,0,0
49,Havoysund,71.0,24.66,32.0,96,75,16.11,NO,2020-02-24 00:58:40,shower rain,0,0
50,East London,-33.02,27.91,65.5,62,80,0.63,ZA,2020-02-24 00:58:27,broken clouds,0,0
51,Carnarvon,-24.87,113.63,78.8,74,0,4.7,AU,2020-02-24 00:58:41,clear sky,0,0
52,Cape Town,-33.93,18.42,64.99,55,0,14.99,ZA,2020-02-24 00:58:41,clear sky,0,0
53,Hilo,19.73,-155.09,82.4,54,20,16.11,US,2020-02-24 00:57:18,few clouds,0,0
54,Hrodna,53.69,23.83,35.8,92,100,8.37,BY,2020-02-24 00:58:42,overcast clouds,0,0
55,Upernavik,72.79,-56.15,-19.1,89,0,5.64,GL,2020-02-24 00:58:42,clear sky,0,0
56,Cidreira,-30.18,-50.21,72.57,72,0,22.93,BR,2020-02-24 00:58:42,clear sky,0,0
57,Adrar,20.5,-10.07,81.99,9,100,10.11,MR,2020-02-24 00:54:46,overcast clouds,0,0
58,Hobart,-42.88,147.33,71.01,59,75,4.7,AU,2020-02-24 00:57:03,broken clouds,0,0
59,Balabac,7.99,117.06,80.89,73,31,13.18,PH,2020-02-24 00:58:43,light rain,0.31,0
60,Pangody,65.85,74.49,25.81,91,100,21.92,RU,2020-02-24 00:58:43,light snow,0,0.19
61,Kapaa,22.08,-159.32,80.6,61,40,8.05,US,2020-02-24 00:55:03,scattered clouds,0,0
62,Busselton,-33.65,115.33,70.0,77,63,1.99,AU,2020-02-24 00:58:43,broken clouds,0,0
63,Maldonado,-34.67,-54.92,68.0,82,0,6.93,UY,2020-02-24 00:58:43,clear sky,0,0
64,Qaanaaq,77.48,-69.36,-19.1,61,0,5.77,GL,2020-02-24 00:58:44,clear sky,0,0
65,Bandarbeyla,9.49,50.81,78.15,71,81,15.7,SO,2020-02-24 00:56:34,broken clouds,0,0
66,Port Macquarie,-31.43,152.92,73.4,100,75,4.7,AU,2020-02-24 00:56:49,broken clouds,0,0
67,Richards Bay,-28.78,32.04,73.27,71,61,20.2,ZA,2020-02-24 00:58:44,light rain,1.12,0
68,Barrow,71.29,-156.79,-22.0,67,1,12.75,US,2020-02-24 00:58:45,clear sky,0,0
69,Saskylakh,71.92,114.08,7.02,92,97,9.1,RU,2020-02-24 00:58:45,light snow,0,0.13
70,Jalu,29.03,21.55,53.96,58,71,11.61,LY,2020-02-24 00:58:45,broken clouds,0,0
71,Hermanus,-34.42,19.23,63.0,75,0,8.99,ZA,2020-02-24 00:58:46,clear sky,0,0
72,Joshimath,30.57,79.57,26.92,48,34,9.15,IN,2020-02-24 00:58:46,scattered clouds,0,0
73,Turukhansk,65.82,87.98,14.27,94,100,12.12,RU,2020-02-24 00:58:46,light snow,0,0.56
74,Lakes Entrance,-37.88,147.98,77.0,71,96,1.99,AU,2020-02-24 00:58:46,overcast clouds,0,0
75,Selenginsk,52.01,106.86,-9.4,83,90,1.83,RU,2020-02-24 00:53:48,overcast clouds,0,0
76,Pochutla,15.74,-96.47,84.2,69,75,11.41,MX,2020-02-24 00:58:47,broken clouds,0,0
